1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;;;;;13:30 -15:20;;;B-35;AYUD;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;;08:30 -12:20;;;;;;C-014;CLAS;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;;;;08:30 -12:20;;;;M-101;CLAS;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;15:30 -17:20;;;;;;19-03-2018;B-21;PRBA;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;15:30 -17:20;;;;;;09-04-2018;B-21;PRBA;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;;08:30 -12:20;;;;;22-05-2018;C-014;PRBA;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;;;;;13:30 -15:20;;27-05-2018;B-35;PRBA;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;15:30 -17:20;;;;;;11-06-2018;B-21;PRBA;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1758;ING;1101;4;ALGEBRA E INTRODUCCION AL CALC;9;;15:30 -17:20;;;;;03-07-2018;B-21;PRBA;BALLESTEROS/VERGARA RAIMUNDO TOMAS;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;;;;;13:30 -15:20;;;CEN 102;AYUD;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;;08:30 -12:20;;;;;;C-013;CLAS;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;;;15:30 -17:20;;;;;C-204;AYUD;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;;;;08:30 -12:20;;;;H-220;CLAS;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;15:30 -17:20;;;;;;19-03-2018;H-211;PRBA;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;15:30 -17:20;;;;;;09-04-2018;H-107;PRBA;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;;;;;13:30 -15:20;;27-04-2018;CEN 102;PRBA;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;;08:30 -12:20;;;;;22-05-2018;C-013;PRBA;CARVAJAL/RAMIREZ JOSE JOAQUIN;
1759;ING;1101;5;ALGEBRA E INTRODUCCION AL CALC;9;15:30 -17:20;;;;;;11-06-2018;H-107;PRBA;CARVAJAL/RAMIREZ JOSE JOAQUIN;
